epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1478042407713,2016-11-01T19.20.07.713,27.7646484375,0.078125,-0.31689453125,5.92236328125
1478042407732,2016-11-01T19.20.07.732,27.78369140625,-0.54833984375,0.935546875,2.68359375
1478042407753,2016-11-01T19.20.07.753,27.80419921875,-0.7177734375,0.2578125,0.78125
1478042407773,2016-11-01T19.20.07.773,27.82470703125,-0.482421875,0.02294921875,0.70703125
1478042407794,2016-11-01T19.20.07.794,27.84521484375,-0.15087890625,-0.103515625,0.685546875
1478042407814,2016-11-01T19.20.07.814,27.86572265625,0.271484375,-0.16064453125,0.74609375
1478042407835,2016-11-01T19.20.07.835,27.88623046875,0.2529296875,-0.21875,0.9970703125
1478042407854,2016-11-01T19.20.07.854,27.9052734375,0.08251953125,-0.318359375,0.94580078125
1478042407874,2016-11-01T19.20.07.874,27.92578125,0.1005859375,-0.46923828125,0.73779296875
1478042407895,2016-11-01T19.20.07.895,27.9462890625,0.31787109375,-0.5888671875,0.7802734375
1478042407915,2016-11-01T19.20.07.915,27.966796875,0.5146484375,-0.55322265625,1.28564453125
1478042407936,2016-11-01T19.20.07.936,27.9873046875,0.66650390625,-0.7490234375,2.09716796875
1478042407955,2016-11-01T19.20.07.955,28.00634765625,0.8173828125,-1.08984375,2.55078125
1478042407975,2016-11-01T19.20.07.975,28.02685546875,0.5634765625,-1.34912109375,2.58154296875
1478042407996,2016-11-01T19.20.07.996,28.04736328125,0.18408203125,-1.57861328125,2.30615234375
1478042408016,2016-11-01T19.20.08.016,28.06787109375,0.52197265625,-1.943359375,2.15087890625
1478042408037,2016-11-01T19.20.08.037,28.08837890625,0.53564453125,-2.1845703125,1.38427734375
1478042408057,2016-11-01T19.20.08.057,28.10888671875,0.3271484375,-2.5556640625,0.25927734375
1478042408076,2016-11-01T19.20.08.076,28.1279296875,0.5634765625,-3.5263671875,-0.291015625
1478042408097,2016-11-01T19.20.08.097,28.1484375,0.55078125,-3.39404296875,-1.0771484375
1478042408117,2016-11-01T19.20.08.117,28.1689453125,-0.70263671875,-0.68115234375,-2.30615234375
1478042408138,2016-11-01T19.20.08.138,28.189453125,0.8154296875,0.20849609375,2.40869140625
1478042408158,2016-11-01T19.20.08.158,28.2099609375,0.18017578125,0.16357421875,-0.0810546875
1478042408179,2016-11-01T19.20.08.179,28.23046875,1.02880859375,-1.40869140625,2.10302734375
1478042408198,2016-11-01T19.20.08.198,28.24951171875,0.94873046875,-0.56884765625,1.8486328125
1478042408218,2016-11-01T19.20.08.218,28.27001953125,0.095703125,-0.7568359375,2.18408203125
1478042408239,2016-11-01T19.20.08.239,28.29052734375,-0.63330078125,-0.79150390625,2.96240234375
1478042408259,2016-11-01T19.20.08.259,28.31103515625,1.17333984375,-0.08251953125,1.42919921875
1478042408280,2016-11-01T19.20.08.280,28.33154296875,0.0615234375,-0.00927734375,1.07421875
1478042408299,2016-11-01T19.20.08.299,28.3505859375,0.08349609375,-0.05615234375,1.1455078125
1478042408320,2016-11-01T19.20.08.320,28.37109375,0.17724609375,-0.005859375,1.0556640625
1478042408340,2016-11-01T19.20.08.340,28.3916015625,0.16015625,0.0068359375,1.02490234375
1478042408361,2016-11-01T19.20.08.361,28.412109375,0.14013671875,0.01123046875,0.99169921875
1478042408381,2016-11-01T19.20.08.381,28.4326171875,0.14990234375,0.01025390625,0.98779296875
1478042408402,2016-11-01T19.20.08.402,28.453125,0.1123046875,0.01513671875,0.96728515625
1478042408421,2016-11-01T19.20.08.421,28.47216796875,0.091796875,0.01416015625,0.94970703125
1478042408441,2016-11-01T19.20.08.441,28.49267578125,0.111328125,-0.009765625,0.9765625
1478042408462,2016-11-01T19.20.08.462,28.51318359375,0.1064453125,0.0087890625,0.96533203125
1478042408482,2016-11-01T19.20.08.482,28.53369140625,0.10546875,0.01611328125,0.9658203125
1478042408503,2016-11-01T19.20.08.503,28.55419921875,0.13134765625,0.0234375,0.96484375
1478042408523,2016-11-01T19.20.08.523,28.57470703125,0.1259765625,0.025390625,0.9462890625
1478042408542,2016-11-01T19.20.08.542,28.59375,0.126953125,-0.00439453125,0.97119140625
1478042408563,2016-11-01T19.20.08.563,28.6142578125,0.1474609375,-0.0107421875,0.97705078125
1478042408583,2016-11-01T19.20.08.583,28.634765625,0.19482421875,-0.01171875,1.00537109375
1478042408604,2016-11-01T19.20.08.604,28.6552734375,0.22265625,-0.01416015625,1.00830078125
1478042408624,2016-11-01T19.20.08.624,28.67578125,0.1796875,-0.0205078125,0.990234375
1478042408645,2016-11-01T19.20.08.645,28.6962890625,0.15380859375,0.0224609375,0.95068359375
1478042408664,2016-11-01T19.20.08.664,28.71533203125,0.18017578125,0.00048828125,0.9755859375
1478042408684,2016-11-01T19.20.08.684,28.73583984375,0.19775390625,0.029296875,0.95166015625
1478042408705,2016-11-01T19.20.08.705,28.75634765625,0.21240234375,-0.0078125,0.9775390625
1478042408725,2016-11-01T19.20.08.725,28.77685546875,0.16552734375,-0.06982421875,1.01220703125
1478042408746,2016-11-01T19.20.08.746,28.79736328125,0.15673828125,-0.2353515625,1.01416015625
1478042408765,2016-11-01T19.20.08.765,28.81640625,0.14501953125,-0.29833984375,1.0009765625
1478042408785,2016-11-01T19.20.08.785,28.8369140625,0.16064453125,-0.16845703125,0.96435546875
1478042408806,2016-11-01T19.20.08.806,28.857421875,-0.05322265625,0.24658203125,1.0654296875
1478042408826,2016-11-01T19.20.08.826,28.8779296875,-0.13525390625,1.06787109375,1.486328125
1478042408847,2016-11-01T19.20.08.847,28.8984375,-0.56494140625,0.806640625,2.04931640625
1478042408867,2016-11-01T19.20.08.867,28.9189453125,-0.41259765625,1.216796875,1.70458984375
1478042408886,2016-11-01T19.20.08.886,28.93798828125,0.087890625,0.06103515625,0.5263671875
1478042408907,2016-11-01T19.20.08.907,28.95849609375,-1.24853515625,-3.71923828125,3.87646484375
1478042408927,2016-11-01T19.20.08.927,28.97900390625,-0.6376953125,0.14501953125,5.42431640625
1478042408948,2016-11-01T19.20.08.948,28.99951171875,-0.724609375,0.5009765625,2.3095703125
1478042408968,2016-11-01T19.20.08.968,29.02001953125,-0.47265625,0.083984375,0.705078125
